,Racist tokens
0,least
1,tini
2,bit
3,racist
4,racist
5,dick
6,santa
7,*is*
8,white
9,eric
10,holder
11,``
12,understand
13,mistrust
14,attorney
15,gener
16,also
17,black
18,man
19,http
20,//t
21,spent
22,morn
23,board
24,elect
25,get
26,maps/data
27,start
28,regist
29,everi
30,black
31,person
32,ht
33,testimoni
34,darren
35,wilson
36,said
37,thought
38,``
39,look
40,like
41,demon
42,shot
43,mike
44,brown
45,iron
46,word
47,``
48,ca
49,n't
50,server
51,restaur
52,beard
53,make
54,look
55,like
56,terrorist
57,everyon
58,laugh
59,love
60,islamofascist
61,recruit
62,year
63,old
64,jihadi
65,talk
66,minor
67,refer
68,year
69,old
70,crimin
71,isi
72,anyon
73,agre
74,barbar
75,inhuman
76,religion
77,noth
78,desper
79,human
80,realiz
81,islam
82,declar
83,war
84,year
85,ago
86,islam
87,destroy
88,idiot
89,like
90,make
91,declar
92,contact
93,realiti
94,islam
95,inhuman
96,must
97,outlaw
98,prophet
99,rapist
100,murder
101,pedophil
102,caravan
103,robber
104,slave
105,trader
106,bigot
107,sexist
108,god
109,would
110,never
111,use
112,scum
113,mayb
114,give
115,talk
116,year
117,old
118,moham
119,rape
120,year
121,old
122,aisha
123,http
124,islamolunat
125,blow
126,baghdad
127,zero
128,bush
129,blair
130,israel
131,tri
132,defend
133,murder
134,muslim
135,tri
136,wipe
137,un
138,vote
139,muslim
140,nation
141,mean
142,noth
143,muslim
144,extermin
145,christian
146,jew
147,continu
148,today
149,un
150,resolut
151,?
152,muslim
153,fight
154,everi
155,religion
156,none
157,religion
158,face
159,earth
160,suppos
161,believ
162,jew
163,fault
164,seem
165,allah
166,sit
167,around
168,day
169,obsess
170,women
171,hand
172,face
173,show
174,guess
175,idiot
176,need
177,god
178,level
179,islam
180,women
181,must
182,lock
183,hous
184,muslim
185,claim
186,treat
187,well
188,http
189,islam
190,consid
191,women
192,one
193,big
194,sex
195,organ
196,part
197,expos
198,reflect
199,pervers
200,prophet
201,muslim
202,woman
203,walk
204,street
205,giant
206,vagina
207,demand
208,rape
209,cover
210,tent
211,http
212,rofl
213,one
214,brain
215,want
216,madrassa
217,educ
218,teach
219,moham
220,remedi
221,?
222,http
223,myth
224,``
225,moder
226,islam
227,rebel
228,fanat
229,must
230,outlaw
231,http
232,call
233,islamophob
234,say
235,islam
236,need
237,theolog
238,reform
239,head
240,egypt
241,agre
242,http
243,//t.co
244,palestinian
245,accept
246,state
247,solution.on
248,hama
249,one
250,isi
251,http
252,norway
253,see
254,huge
255,drop
256,crime
257,larg
258,number
259,muslim
260,illeg
261,deport
262,http
263,yazidi
264,children
265,taken
266,parent
267,forcibl
268,convert
269,islam
270,http
271,come
272,get
273,jizya
274,scumbag
275,wait
276,cal
277,copper
278,lead
279,islam
280,religion
281,zero
282,spiritu
283,content
284,tell
285,exactli
286,wipe
287,ass
288,accept
289,idea
290,allah
291,obsess
292,take
293,dump
294,show
295,utterli
296,insan
297,inbr
298,religion
299,imam
300,disagre
301,jihad
302,attack
303,muslim
304,moder
305,muslim
306,?
307,http
308,follow
309,exampl
310,prophet
311,marri
312,one
313,wive
314,everyth
315,prophet
316,exactli
317,follow
318,exampl
319,pedophil
320,prophet
321,moham
322,everi
323,detail
324,one
325,isi
326,milit
327,marri
328,year
329,old
330,child
331,mosul
332,pc
333,puzzl
334,convert
335,religion
336,peac
337,lead
338,violenc
339,?
340,http
341,http
342,ye
343,tri
344,murder
345,way
346,heaven
347,total
348,idiot
349,would
350,believ
351,allah
352,exampl
353,medina
354,moham
355,said
356,kindli
357,cut
358,head
359,jewish
360,men
361,enslav
362,women
363,total
364,lie
365,minor
366,muslim
367,land
368,extermin
369,year
370,exactli
371,merkel
372,defend
373,protest
374,call
375,islamophob
376,http
377,cours
378,quran
379,approv
380,slaveri
381,rape
382,femal
383,slave
384,http
385,richard
386,king
387,could
388,pleas
389,none
390,garbag
391,bear
392,moham
393,pedophil
394,ca
395,n't
396,use
397,cultur
398,excus
399,moham
400,claim
401,guid
402,allah
403,creat
404,cultur
405,furthermor
406,islam
407,demand
408,women
409,lock
410,home
411,cover
412,stop
413,lie
414,http
415,custom
416,rule
417,histori
418,marri
419,year
420,old
421,screw
422,year
423,old
424,sick
425,like
426,islam
427,tarnish
428,point
429,truth
430,tri
431,ration
432,asham
433,god
434,protect
435,islam
436,need
437,protect
438,murder
439,apost
440,spread
441,vile
442,religion
443,sword
444,truth
445,muslim
446,walk
447,away
448,islam
449,peopl
450,convert
451,educ
452,kill
453,peopl
454,disagre
455,time
456,pedophil
457,prophet
458,murder
459,hadith
460,know
461,critic
462,?
463,kill
464,thing
465,would
466,never
467,make
468,sunnah
469,peopl
470,leav
471,islam
472,n't
473,announc
474,quietli
475,walk
476,away
477,reason
478,overal
479,number
480,increas
481,muslim
482,breed
483,like
484,rat
485,like
486,prophet
487,told
488,muslim
489,expect
490,fear
491,god
492,well
493,live
494,fear
495,idea
496,perfect
497,stupid
498,murder
499,breed
500,like
501,rat
502,kill
503,non
504,muslim
505,forc
506,religion
507,peopl
508,sword
509,ye
510,might
511,power
512,imperi
513,zero
514,spiritu
515,soon
516,world
517,understand
518,know
519,damn
520,well
521,moham
522,told
523,follow
524,breed
525,sourc
526,popul
527,imperi
528,percentag
529,usual
530,poor
531,women
532,marri
533,muslim
534,man
535,noth
536,persuas
537,islam
538,idiot
539,would
540,think
541,god
542,want
543,fear
544,muslim
545,think
546,beyond
547,characterist
548,earthli
549,tyrant
550,entir
551,concept
552,god
553,correspond
554,tyrann
555,earthli
556,egomaniac
557,simpl
558,stupid
559,miss
560,point
561,god
562,interest
563,militari
564,rule
565,phoni
566,fraud
567,like
568,moham
569,benefit
570,exactli
571,cult
572,death
573,center
574,around
575,idea
576,go
577,heaven
578,describ
579,giant
580,whore
581,hous
582,keep
583,repeat
584,believ
585,brain
586,dead
587,fairi
588,tale
589,-
590,follow
591,prophet
592,medic
593,advic
594,http
595,forc
596,peopl
597,muslim
598,even
599,pervert
600,imam
601,know
602,http
603,see
604,vile
605,islam
606,action
607,chang
608,mind
609,http
610,problem
611,cathedr
612,n't
613,understand
614,prophet
615,moham
616,declar
617,war
618,human
619,year
620,ago
621,inscrib
622,inferior
623,abus
624,women
625,http
626,isi
627,follow
628,quran
629,hadith
630,sharia
631,exactli
632,letter
633,exactli
634,read
635,quran
636,hadith
637,find
638,hate
639,bigot
640,sexist
641,vile
642,inhuman
643,person
644,relationship
645,creator
646,islam
647,everyth
648,come
649,phoni
650,prophet
651,relationship
652,fear
653,lie
654,isi
655,prophet
656,moham
657,?
658,islam
659,terrorist
660,group
661,command
662,fear
663,allah
664,quran
665,ritual
666,grovel
667,ground
668,one
669,fear
670,person
671,relationship
672,grovel
673,ground
674,fear
675,peopl
676,person
677,relationship
678,?
679,bigotri
680,toward
681,non-
682,muslim
683,popul
684,along
685,religi
686,cleans
687,old
688,islam
689,muslim
690,claim
691,racism
692,like
693,everyth
694,els
695,claim
696,lie
697,http
698,isra
699,spat
700,upon
701,beaten
702,muslim
703,sing
704,anti-semit
705,song
706,berlin
707,http
708,year
709,ago
710,pedophil
711,prophet
712,declar
713,war
714,human
715,human
716,hate
717,islam
718,islamist
719,repeat
720,brain
721,dead
722,line
723,someon
724,els
725,told
726,say
727,'ve
728,seen
729,one
730,thousand
731,time
732,guess
733,idea
734,muslim
735,joke
736,look
737,like
738,http
739,n't
740,good
741,week
742,new
743,front
744,open
745,lose
746,battl
747,f
748,n't
749,good
750,week
751,new
752,front
753,open
754,lose
755,battl
756,f
757,oh
758,no.do
759,go
760,``
761,islam
762,center
763,beat
764,mental
765,w/doubl
766,speak
767,convert
768,asap
769,thing
770,stop
771,muslim
772,slaughter
773,histor
774,past
775,militari
776,defeat
777,reason
778,murder
779,kill
780,muslim
781,tri
782,muslim
783,actual
784,better
785,behav
786,religion
787,lead
788,fact
789,islam
790,declar
791,war
792,mean
793,islam
794,alway
795,produc
796,terrorist
797,``
798,moder
799,islam
800,islam
801,islam
802,differ
803,http
804,//t.co
805,everi
806,muslim
807,``
808,slave
809,allah
810,religi
811,``
812,islam
813,damag
814,danger
815,like
816,pictur
817,israel
818,context
819,muslim
820,world
821,tini
822,spec
823,blame
824,evil
825,muslim
826,popul
827,region
828,reach
829,certain..
830,point
831,agit
832,begins..
833,http
834,//
835,justifi
836,christian
837,microbrain
838,n't
839,religion
840,hide
841,islam
842,barbar
843,mostli
844,old
845,testament
846,hero
847,attack
848,slaughter
849,everi
850,man
851,woman
852,child
853,anim
854,look
855,land
856,occup
857,green
858,``
859,islam
860,domin
861,dupe
862,http
863,//t.c
864,islam
865,oper
866,terrorist
867,group
868,mandat
869,conquer
870,world
871,violenc
872,look
873,chart
874,tell
875,get
876,``
877,idea
878,http
879,islam
880,attack
881,conquer
882,/
883,christian
884,crusad
885,islam
886,extermin
